"","im_name","barb","length_counted","total_barbule_num","barbule_density","id"
"1","20231230_150231278","barb1",1.02127659574468,22,21.5416666666667,"PB153"
"2","20231230_150231278","barb2",1.00607902735562,21,20.8731117824773,"PB153"
"3","20231230_150231278","barb3",1.00911854103343,19,18.828313253012,"PB153"
"4","20231230_150408824","barb1",0.993920972644377,21,21.1284403669725,"PB153"
"5","20231230_150408824","barb2",0.948328267477204,22,23.198717948718,"PB153"
"6","20231230_150408824","barb3",1.01215805471125,25,24.6996996996997,"PB153"
"7","20231230_150503045","barb1",1.00911854103343,21,20.8102409638554,"PB153"
"8","20231230_150503045","barb2",1.01823708206687,23,22.5880597014925,"PB153"
"9","20231230_150503045","barb3",1.01215805471125,14,13.8318318318318,"PB153"
"10","20231230_150745043","barb1",1.00911854103343,20,19.8192771084337,"PB129"
"11","20231230_150745043","barb2",1.00607902735562,20,19.8791540785498,"PB129"
"12","20231230_150745043","barb3",1.00607902735562,20,19.8791540785498,"PB129"
"13","20231230_150844874","barb1",1.00911854103343,22,21.8012048192771,"PB129"
"14","20231230_150844874","barb2",1.00911854103343,23,22.7921686746988,"PB129"
"15","20231230_150844874","barb3",1.00607902735562,23,22.8610271903323,"PB129"
"16","20231230_150916583","barb1",1.01823708206687,22,21.6059701492537,"PB129"
"17","20231230_150916583","barb2",1.00607902735562,21,20.8731117824773,"PB129"
"18","20231230_150916583","barb3",1.00911854103343,19,18.828313253012,"PB129"
"19","20231230_151102591","barb1",1.00911854103343,20,19.8192771084337,"PB140"
"20","20231230_151102591","barb2",1.01215805471125,21,20.7477477477477,"PB140"
"21","20231230_151102591","barb3",1.01823708206687,21,20.6238805970149,"PB140"
"22","20231230_151223336","barb1",1.00607902735562,20,19.8791540785498,"PB140"
"23","20231230_151223336","barb2",1.00303951367781,19,18.9424242424242,"PB140"
"24","20231230_151223336","barb3",1.0273556231003,17,16.5473372781065,"PB140"
"25","20231230_151247026","barb1",1.00607902735562,24,23.8549848942598,"PB140"
"26","20231230_151247026","barb2",1.00911854103343,25,24.7740963855422,"PB140"
"27","20231230_151247026","barb3",1.00607902735562,23,22.8610271903323,"PB140"
"28","20231230_151649116","barb1",1.01215805471125,20,19.7597597597598,"PB210"
"29","20231230_151649116","barb2",1.00303951367781,19,18.9424242424242,"PB210"
"30","20231230_151649116","barb3",1.03039513677812,21,20.3805309734513,"PB210"
"31","20231230_151703410","barb1",1.00911854103343,20,19.8192771084337,"PB210"
"32","20231230_151703410","barb2",1.00607902735562,19,18.8851963746224,"PB210"
"33","20231230_151703410","barb3",1.00607902735562,18,17.8912386706949,"PB210"
"34","20231230_151757991","barb1",1.00607902735562,18,17.8912386706949,"PB210"
"35","20231230_151757991","barb2",1.01823708206687,18,17.6776119402985,"PB210"
"36","20231230_151757991","barb3",1.01519756838906,18,17.7305389221557,"PB210"
"37","20231230_152011954","barb1",1.00607902735562,20,19.8791540785498,"PB152"
"38","20231230_152011954","barb2",1.00911854103343,19,18.828313253012,"PB152"
"39","20231230_152011954","barb3",1.00911854103343,21,20.8102409638554,"PB152"
"40","20231230_152110265","barb1",1.01215805471125,18,17.7837837837838,"PB152"
"41","20231230_152110265","barb2",1.00303951367781,20,19.9393939393939,"PB152"
"42","20231230_152110265","barb3",1.01823708206687,20,19.6417910447761,"PB152"
